site_id,expt_id,trmt_id,chamber_id,date,DOC,NH4,NO3,pH,SWC_TDR,SWC_gravimetric
EHD,digestate1,D2,1,2023-02-08T00:00:00Z,,2.09477894524478,3.17026248946249,6.75,,26.8761552680222
EHD,digestate1,control,2,2023-02-08T00:00:00Z,,2.02896170277752,4.09407559146282,7,,25.5584151906644
EHD,digestate1,control,3,2023-02-08T00:00:00Z,,2.60475541750319,6.18498692630677,7.15,,26.6982234306243
EHD,digestate1,D1,4,2023-02-08T00:00:00Z,,2.15831178804952,5.11889537112514,7.24,,25.9645140527597
EHD,digestate1,D1,5,2023-02-08T00:00:00Z,,1.7422283392229,3.33459460381963,7.3,,25.418063854642
EHD,digestate1,control,6,2023-02-08T00:00:00Z,,2.21328663179772,3.10891260142901,7.29,,26.0169927336077
EHD,digestate1,D1,7,2023-02-08T00:00:00Z,,2.50137139914932,3.49725059293099,7.32,,27.0993584541393
EHD,digestate1,D2,8,2023-02-08T00:00:00Z,,7.95642153736807,6.23244123177158,7.31,,26.8784996343037
EHD,digestate1,D1,9,2023-02-08T00:00:00Z,,2.35259774705189,4.410625187971,7.34,,24.4560464687442
EHD,digestate1,D2,10,2023-02-08T00:00:00Z,,2.14470590749034,3.76744930679667,7.37,,25.6573957477872
EHD,digestate1,D2,11,2023-02-08T00:00:00Z,,1.77845428284267,3.25509449359647,7.38,,23.3150344725332
EHD,digestate1,control,12,2023-02-08T00:00:00Z,,1.62816785780524,3.40937683221658,7.43,,25.4175074605656
EHD,digestate1,D2,13,2023-02-08T00:00:00Z,,1.9270553929284,3.10222432861358,6.98,,24.8710871525581
EHD,digestate1,control,14,2023-02-08T00:00:00Z,,2.3954706336637,1.94156908206514,7.11,,26.9937037716242
EHD,digestate1,control,15,2023-02-08T00:00:00Z,,1.47408624552072,2.32471070060199,7.27,,23.9243012762478
EHD,digestate1,D2,16,2023-02-08T00:00:00Z,,1.86820141549239,1.76097350990048,7.35,,22.4817238598273
EHD,digestate1,D1,17,2023-02-08T00:00:00Z,,2.40478107677931,2.29531876960216,7.5,,23.1501632370547
EHD,digestate1,D1,18,2023-02-08T00:00:00Z,,2.58994345736621,2.22630424439238,7.42,,23.751603199403
