site_id,expt_id,start_date,end_date,t_shift,initial_deadband_width,final_deadband_width,t_max,t_co2_cut,t_co2_max,t_resid_threshold,ch_pos_fill,ch_pos_change
EHD,yield1,2019-03-05,2019-07-30,0,75,60,380,FALSE,,2,TRUE,TRUE
EHD,yield1,2019-07-31,2019-09-25,0,60,75,380,FALSE,,2,TRUE,TRUE
EHD,split1,2020-02-14,2020-06-25,0,100,60,360,FALSE,,2,TRUE,TRUE
EHD,split1,2020-06-26,2020-07-20,120,60,60,300,FALSE,,2,TRUE,TRUE
EHD,split1,2020-07-21,2020-08-11,60,60,60,320,FALSE,,2,TRUE,TRUE
EHD,biochar1,2021-04-15,2021-05-13,0,100,60,370,FALSE,,2,TRUE,TRUE
EHD,biochar1,2021-05-14,2021-09-08,0,120,80,600,FALSE,200,2,TRUE,TRUE
EHD,biochar0,2021-04-30,2021-06-14,0,0,0,450,FALSE,,2,TRUE,TRUE
EHD,digestate0,2023-03-16,2023-08-12,0,60,30,900,FALSE,200,2,FALSE,FALSE
EHD,digestate1,2023-03-16,2023-08-12,0,60,30,900,FALSE,120,2,FALSE,FALSE
HRG,diurnal1,2023-05-04,2023-09-15,0,150,45,360,FALSE,200,2,FALSE,FALSE
PDF,mix1,2024-04-26,2024-05-06,0,100,60,360,FALSE,,2,TRUE,FALSE
PDF,mix1,2024-05-09,2024-09-30,0,100,60,360,FALSE,,2,FALSE,FALSE
